epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,20119,0.69756,0.97619,1.13775,0.86645,0.80656,0.85123,0.70188,0.71226,0.79707,1.16253,0.005149,0.005149,0.005149
149,20255.2,0.69987,0.97941,1.14399,0.87273,0.80161,0.85126,0.70157,0.71202,0.79672,1.16215,0.005116,0.005116,0.005116
150,20391.4,0.69492,0.98019,1.13874,0.88545,0.79541,0.85114,0.70078,0.71153,0.79599,1.16186,0.005083,0.005083,0.005083
151,20527.1,0.69557,0.98154,1.13738,0.88347,0.79638,0.85113,0.70215,0.71097,0.79547,1.16138,0.00505,0.00505,0.00505
152,20663.3,0.69861,0.97528,1.14163,0.88245,0.79707,0.85114,0.70266,0.71023,0.79489,1.16065,0.005017,0.005017,0.005017
153,20799.1,0.69557,0.97731,1.13949,0.88033,0.7994,0.85124,0.70287,0.7102,0.79406,1.16049,0.004984,0.004984,0.004984
154,20934.5,0.69531,0.97097,1.13888,0.88019,0.79953,0.85173,0.70283,0.71004,0.79368,1.16023,0.004951,0.004951,0.004951
155,21069.2,0.68815,0.9587,1.13646,0.88027,0.80018,0.85175,0.70245,0.70983,0.79356,1.15999,0.004918,0.004918,0.004918
156,21204.3,0.68905,0.97031,1.1377,0.87732,0.80192,0.85202,0.70422,0.70936,0.79368,1.15954,0.004885,0.004885,0.004885
157,21339.2,0.69801,0.97872,1.14449,0.87771,0.80233,0.85231,0.70468,0.70879,0.79327,1.15877,0.004852,0.004852,0.004852
158,21474.3,0.68998,0.95451,1.13565,0.87867,0.80214,0.85243,0.70538,0.70845,0.79273,1.15822,0.004819,0.004819,0.004819
159,21609.8,0.6876,0.9501,1.13353,0.87884,0.80216,0.85267,0.70545,0.70774,0.79243,1.15736,0.004786,0.004786,0.004786
160,21745.8,0.68931,0.96826,1.13409,0.87988,0.80215,0.85282,0.70516,0.70713,0.79189,1.15682,0.004753,0.004753,0.004753
161,21883.1,0.68807,0.94842,1.13158,0.87993,0.8018,0.85318,0.70618,0.70681,0.79125,1.15627,0.00472,0.00472,0.00472
162,22018.5,0.68861,0.95082,1.13245,0.87988,0.80121,0.85318,0.70517,0.70674,0.79057,1.15608,0.004687,0.004687,0.004687
